//mob_db.txtへオーバーライド
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
2510,ori0001,ぷち強長男,100,2,0,20000,20000,1,400,50,50,30,70,40,20,20,50,10,10,12,0,7,20,1941,100,1120,620,240,-16,9000,-17,10000,-16,10000,-17,10000,0,10,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511,ori0001,ぷち強長男,100,2,0,20000,20000,1,400,50,50,30,70,40,20,20,50,10,10,12,0,7,20,1941,100,1120,620,240,-16,9000,0,0,0,0,0,0,0,10,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,ori0001,ぷち強長男,100,2,0,20000,20000,1,400,50,50,30,70,40,20,20,50,10,10,12,0,7,20,1941,100,1120,620,240,-1,9000,40302,10000,40301,10000,40303,10000,0,10,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,ori0001,ぷち強長男,100,2,0,20000,20000,1,400,50,50,30,70,40,20,20,50,10,10,12,0,7,20,1941,100,1120,620,240,-1,9000,40302,10000,40301,10000,40303,10000,0,10,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//チャレンジMAP１
2520,ori1_1,ぽりん,10,300,0,10,10,1,20,20,0,5,10,3,3,5,12,15,10,12,1,3,21,131,400,1872,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2521,ori1_2,どろっぷす,10,400,0,20,20,1,20,20,2,5,6,5,5,5,10,15,10,12,1,3,23,131,400,1372,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2522,ori1_3,ぽぽりん,15,500,0,45,45,1,35,40,2,5,6,14,14,5,20,15,10,12,1,3,25,131,300,1672,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,ori1_4,めたりん,18,550,0,65,65,1,40,50,2,5,12,12,15,15,15,20,10,12,0,0,20,131,300,384,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2524,ori1_5,ぽーりん,18,500,0,55,55,1,40,45,2,5,10,12,12,12,15,15,10,12,1,3,21,131,320,1872,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2525,ori1_6,えっぐりん,12,400,0,15,15,1,20,20,2,5,11,14,10,15,13,14,10,12,1,3,20,131,420,1872,672,480,-17,10,-17,20,-17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//チャレンジMAP２
2526,ori2-1,ぞんび,25,900,0,95,95,1,80,90,5,10,10,15,10,5,25,0,10,12,1,1,29,1669,380,2612,912,288,-17,35,-17,25,-17,15,35012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2527,ori2-2,すけるとん,25,1000,0,100,100,1,85,90,2,5,20,15,10,0,20,0,10,12,1,1,29,1669,200,2228,528,576,-17,35,-17,25,-17,15,35012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,ori2-3,あーちゃーすけるとん,30,1200,0,120,120,9,90,100,2,5,10,10,14,5,90,5,10,12,1,1,29,1157,300,2864,864,576,-17,35,-17,25,-17,15,35012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2529,ori2-4,えぎら,30,500,0,100,180,1,120,130,35,40,6,40,30,0,30,5,10,12,1,3,21,145,200,1816,816,288,-17,35,-17,25,-17,15,35012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2530,ori2-5,ふぁみりあー,25,700,0,100,90,1,75,75,2,5,5,15,10,10,25,15,10,12,0,2,27,1669,150,1200,550,380,-17,35,-17,25,-17,15,35012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//チャレンジMAP３
2531,ori3-1,ぷらんくとん,1,60,0,1,1,1,1,1,2,5,6,1,1,0,6,5,10,12,1,3,21,131,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2532,ori3-2,ばどん,1,60,0,1,1,1,1,1,2,5,6,1,1,0,6,5,10,12,1,3,21,131,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533,ori3-3,くくれ,1,60,0,1,1,1,1,1,2,5,6,1,1,0,6,5,10,12,1,3,21,131,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
